Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7955, 1, 0.00, 793.16
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 8062, 1, 0.00, 74.84
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 8062, 1, 0.00, 57.57
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 8062, 1, 0.00, 761.85
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 157, 1005, 8062, 1, 0.00, 38.38
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 158, 1005, 8062, 1, 0.00, 44.14
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 8062, 1, 0.00, 295.53
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 155, 1005, 7952, 1, 0.00, 300.84
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 800, 1005, 7952, 1, 0.00, 2453.14
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 807, 1005, 7952, 1, 0.00, 446.96
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 808, 1005, 7952, 1, 0.00, 72.89
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 809, 1005, 7952, 1, 0.00, 164.35
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 8014, 1, 0.00, 1945.74
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 20, 200, 1005, 8014, 1, 0.00, 1945.35
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 40, 402, 1005, 8014, 1, 0.00, 33.36
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7971, 1, 0.00, 781.05
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7971, 1, 0.00, 329.95
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 7971, 1, 0.00, 95.38
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7971, 1, 0.00, 1657.75
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7936, 1, 0.00, 177.64
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 7936, 1, 0.00, 927.11
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 182, 1005, 7936, 1, 0.00, 231.91
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 20, 200, 1005, 7996, 1, 0.00, 87.99
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 30, 301, 1005, 7996, 1, 0.00, 4004.42
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 8030, 1, 0.00, 186.39
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 8030, 1, 0.00, 106.48
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 8030, 1, 0.00, 1224.81
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 158, 1005, 8030, 1, 0.00, 772.12
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7934, 1, 0.00, 406.75
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7934, 1, 0.00, 193.01
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 116, 1005, 7934, 1, 0.00, 31.96
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 7934, 1, 0.00, 73.16
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 7934, 1, 0.00, 56.18
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7934, 1, 0.00, 973.07
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 157, 1005, 7934, 1, 0.00, 37.45
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 158, 1005, 7934, 1, 0.00, 43.20
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 7934, 1, 0.00, 288.65
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 30, 301, 1005, 7934, 1, 0.00, 393.52
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7933, 1, 0.00, 1628.45
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 7933, 1, 0.00, 265.98
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7976, 1, 0.00, 599.38
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7976, 1, 0.00, 318.56
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 116, 1005, 7976, 1, 0.00, 387.01
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7976, 1, 0.00, 1297.67
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 7932, 1, 0.00, 2792.85
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 30, 301, 1005, 8051, 1, 0.00, 1180.79
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7922, 1, 0.00, 674.96
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 7922, 1, 0.00, 134.99
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7922, 1, 0.00, 843.87
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 157, 1005, 7922, 1, 0.00, 101.41
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 187, 1005, 7922, 1, 0.00, 404.98
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 7922, 1, 0.00, 1164.74
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 8010, 1, 0.00, 17.36
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 8010, 1, 0.00, 8.40
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 116, 1005, 8010, 1, 0.00, 1.12
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 8010, 1, 0.00, 3.36
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 8010, 1, 0.00, 2.24
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 8010, 1, 0.00, 31.93
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 157, 1005, 8010, 1, 0.00, 1.68
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 158, 1005, 8010, 1, 0.00, 1.68
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 8010, 1, 0.00, 13.44
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 20, 200, 1005, 8010, 1, 0.00, 460.43
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 30, 300, 1005, 8010, 1, 0.00, 4698.95
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 40, 401, 1005, 8010, 1, 0.00, 77.86
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 40, 402, 1005, 8010, 1, 0.00, 94.10
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 40, 435, 1005, 8010, 1, 0.00, 188.76
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 800, 1005, 7944, 1, 0.00, 285.52
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 808, 1005, 7944, 1, 0.00, 122.36
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 20, 200, 1005, 8028, 1, 0.00, 49.48
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 600, 1005, 8028, 1, 0.00, 109.87
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 612, 1005, 8028, 1, 0.00, 1274.94
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7935, 1, 0.00, 511.37
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7935, 1, 0.00, 354.49
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 116, 1005, 7935, 1, 0.00, 381.88
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 7935, 1, 0.00, 40.97
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 7935, 1, 0.00, 40.97
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7935, 1, 0.00, 838.71
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 807, 1005, 7935, 1, 0.00, 95.30
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7902, 1, 0.00, 470.70
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7902, 1, 0.00, 1058.89
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7902, 1, 0.00, 215.82
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 191, 1005, 7902, 1, 0.00, 1804.33
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7984, 1, 0.00, 452.75
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7984, 1, 0.00, 323.57
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 116, 1005, 7984, 1, 0.00, 517.65
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 122, 1005, 7984, 1, 0.00, 64.59
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 7984, 1, 0.00, 86.33
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7984, 1, 0.00, 1444.86
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 807, 1005, 7984, 1, 0.00, 215.50
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 7977, 1, 0.00, 2394.82
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 20, 200, 1005, 7960, 1, 0.00, 1232.89
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 610, 1005, 7960, 1, 0.00, 455.31
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 600, 1005, 8038, 1, 0.00, 264.62
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 603, 1005, 8038, 1, 0.00, 88.12
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 610, 1005, 8038, 1, 0.00, 8.11
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 612, 1005, 8038, 1, 0.00, 32.17
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 613, 1005, 8038, 1, 0.00, 1066.85
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 635, 1005, 8038, 1, 0.00, 681.68
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 636, 1005, 8038, 1, 0.00, 561.40
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7954, 1, 0.00, 745.00
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7954, 1, 0.00, 124.25
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 125, 1005, 7954, 1, 0.00, 70.93
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7954, 1, 0.00, 1259.59
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 157, 1005, 7954, 1, 0.00, 177.32
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 807, 1005, 7954, 1, 0.00, 35.46
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 30, 301, 1005, 7998, 1, 0.00, 1706.69
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 612, 1005, 7967, 1, 0.00, 143.76
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 613, 1005, 7967, 1, 0.00, 89.94
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 60, 636, 1005, 7967, 1, 0.00, 2126.88
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 30, 301, 1005, 7915, 1, 0.00, 2113.13
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7923, 1, 0.00, 724.40
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 115, 1005, 7923, 1, 0.00, 63.07
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 150, 1005, 7923, 1, 0.00, 283.42
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 157, 1005, 7923, 1, 0.00, 588.14
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 187, 1005, 7923, 1, 0.00, 315.10
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 189, 1005, 7923, 1, 0.00, 703.64
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 807, 1005, 7923, 1, 0.00, 52.70
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 155, 1005, 7904, 1, 0.00, 84.94
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 800, 1005, 7904, 1, 0.00, 1634.17
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 80, 808, 1005, 7904, 1, 0.00, 92.00
Session ID, Session Date, Session Description, DocNum, DocDate, DocDesc, Effective Date, BP, JV, no, N, 10, 110, 1005, 7963, 1, 0.00, 476.57
